"profile_id","SEAL_NAME","date","lon","lat","depth","light_raw","light_corrected","chla_raw","chla_corrected","temperature","salinity","MLD","QD"
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,1,NA,NA,NA,NA,-1.82372879981995,33.5266342163086,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,2,NA,NA,NA,NA,-1.82371246814728,33.5275917053223,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,3,NA,NA,NA,NA,-1.82371068000793,33.528148651123,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,4,-8.50699996948242,-8.53495207499066,1.28900003433228,1.23000003397465,-1.82377755641937,33.528678894043,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,5,-8.49667739868164,-8.52433844356053,1.27943015098572,1.22043015062809,-1.82396507263184,33.5291061401367,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,6,-8.48635482788086,-8.51372788456218,1.26986038684845,1.21086038649082,-1.82426607608795,33.5294647216797,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,7,-8.47603225708008,-8.50312036469234,1.26029050350189,1.20129050314426,-1.82463383674622,33.5297660827637,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,8,-8.4657096862793,-8.49251585102697,1.25072062015533,1.19172061979771,-1.82502424716949,33.5300216674805,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,9,-8.45538711547852,-8.48191431101662,1.24115085601807,1.18215085566044,-1.8254029750824,33.5302429199219,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,10,-8.44506454467773,-8.47131571248172,1.23158097267151,1.17258097231388,-1.82576477527618,33.5304336547852,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,11,-8.43474197387695,-8.4607200236081,1.22201097011566,1.16301096975803,-1.82614243030548,33.5306053161621,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,12,-8.42441940307617,-8.45012721294239,1.21244096755981,1.15344096720219,-1.82656311988831,33.5307579040527,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,13,-8.41409683227539,-8.43953724938764,1.20287108421326,1.14387108385563,-1.82701110839844,33.5308990478516,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,14,-8.42097854614258,-8.44659691027061,1.17602133750916,1.11702133715153,-1.82745730876923,33.5310363769531,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,15,-8.43523406982422,-8.46122507401436,1.14176595211029,1.08276595175266,-1.8278911113739,33.5311660766602,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,16,-8.44948959350586,-8.47585872990073,1.10751056671143,1.0485105663538,-1.82831215858459,33.5312995910645,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,17,-8.4637451171875,-8.49049796099879,1.07325518131256,1.01425518095493,-1.82872915267944,33.5314292907715,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,18,-8.47799968719482,-8.50514187178351,1.0389997959137,0.979999795556068,-1.82915782928467,33.5315628051758,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,19,-8.49225521087646,-8.51979250742584,1.00474441051483,0.945744410157204,-1.82959794998169,33.5317001342773,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,20,-8.50651073455811,-8.53444897549019,0.970489025115967,0.911489024758339,-1.83002138137817,33.5318450927734,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,21,-8.52076625823975,-8.54911136446251,0.936233818531036,0.877233818173409,-1.83039712905884,33.5320014953613,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,22,-8.53502178192139,-8.56377976424239,0.901978671550751,0.842978671193123,-1.83072555065155,33.532169342041,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,23,-8.5799674987793,-8.61006760993148,0.89374190568924,0.834741905331612,-1.83102965354919,33.5323486328125,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,24,-8.69652652740479,-8.73041145187194,0.946215093135834,0.887215092778206,-1.8313193321228,33.5325393676758,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,25,-8.81308555603027,-8.85124034788304,0.998688220977783,0.939688220620155,-1.83158946037292,33.5327491760254,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,26,-8.92964553833008,-8.97261994977133,1.05116140842438,0.99216140806675,-1.83184707164764,33.5329818725586,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,27,-9.04620456695557,-9.09462223480953,1.10363459587097,1.04463459551334,-1.8321225643158,33.5332450866699,38,NA
1,"wd11-682-17",2019-02-07 14:00:00,140.008099325525,-66.6714385708778,28,-9.16276359558105,-9.21733299543142,1.15610766410828,1.09710766375065,-1.83246326446533,33.5335655212402,38,NA
